timestamp,carbon_intensity,zone
2026-01-30T18:27:26.524390,623.6051251748862,IN-KA
2026-01-30T19:27:26.524390,597.8833593225385,IN-KA
2026-01-30T20:27:26.524390,579.1624992727233,IN-KA
2026-01-30T21:27:26.524390,629.3713246129328,IN-KA
2026-01-30T22:27:26.524390,641.4159327163086,IN-KA
2026-01-30T23:27:26.524390,450.4755153051502,IN-KA
2026-01-31T00:27:26.524390,544.7800524433874,IN-KA
2026-01-31T01:27:26.524390,543.5787427387518,IN-KA
2026-01-31T02:27:26.524390,453.2726956996696,IN-KA
2026-01-31T03:27:26.524390,494.6933766215011,IN-KA
2026-01-31T04:27:26.524390,513.9702239328883,IN-KA
2026-01-31T05:27:26.524390,509.759956451603,IN-KA
2026-01-31T06:27:26.524390,556.6373788757896,IN-KA
2026-01-31T07:27:26.524390,624.7683844701537,IN-KA
2026-01-31T08:27:26.524390,624.6966588268816,IN-KA
2026-01-31T09:27:26.524390,612.0212686970515,IN-KA
2026-01-31T10:27:26.524390,608.0652102215766,IN-KA
2026-01-31T11:27:26.524390,422.2838753264173,IN-KA
2026-01-31T12:27:26.524390,350.0575826963598,IN-KA
2026-01-31T13:27:26.524390,350.2102184956481,IN-KA
2026-01-31T14:27:26.524390,391.93513535142483,IN-KA
2026-01-31T15:27:26.524390,397.89336102677527,IN-KA
2026-01-31T16:27:26.524390,506.42205811836897,IN-KA
2026-01-31T17:27:26.524390,509.1946933064611,IN-KA
