timestamp,sensor_id,ldr_raw,ldr_lux,is_daylight,room_lights_on,current_a,current_adc,voltage_v,power_w,energy_kwh,indoor_temperature_c,indoor_humidity_pct,outdoor_temperature_c,data_quality
2025-12-31 18:32:26.536407,ESP32_NODE_001,810.0,792.5542383056007,False,True,4.655316769589213,605,230,1070.722857005519,0.08922690475045991,24.1,54.9,21.845158069017355,good
2025-12-31 18:37:26.536407,ESP32_NODE_001,756.0,739.3219489649554,False,True,4.3065794521367575,598,230,990.5132739914542,0.08254277283262118,23.0,53.9,23.112516991908297,good
2025-12-31 18:42:26.536407,ESP32_NODE_001,764.0,747.6202350154748,False,True,4.77961582940319,607,230,1099.3116407627338,0.09160930339689446,23.7,54.5,24.73751984272176,good
2025-12-31 18:47:26.536407,ESP32_NODE_001,727.0,710.7978317219554,False,True,5.168507433051589,615,230,1188.7567096018656,0.0990630591334888,24.4,55.3,25.768658387804358,good
2025-12-31 18:52:26.536407,ESP32_NODE_001,757.0,740.7296133873353,False,True,4.449109022464957,600,230,1023.2950751669401,0.085274589597245,24.3,54.5,25.93226929041761,good
2025-12-31 18:57:26.536407,ESP32_NODE_001,711.0,695.8768495656942,False,True,4.60432387616216,604,230,1058.9944915172966,0.08824954095977472,25.0,54.6,24.439529557036177,good
2025-12-31 19:02:26.536407,ESP32_NODE_001,728.0,712.3767980751685,False,True,4.495907019166613,601,230,1034.058614408321,0.08617155120069342,24.2,62.5,22.55806147229301,good
2025-12-31 19:07:26.536407,ESP32_NODE_001,681.0,665.9417957714652,False,True,4.502568165781852,602,230,1035.590678129826,0.0862992231774855,22.6,59.7,22.838216204489953,good
2025-12-31 19:12:26.536407,ESP32_NODE_001,731.0,715.0640536324768,False,True,4.388535003870048,599,230,1009.3630508901111,0.08411358757417593,23.7,59.2,21.230566436906507,good
2025-12-31 19:17:26.536407,ESP32_NODE_001,724.0,707.9122646755044,False,True,4.617653304949262,604,230,1062.0602601383302,0.08850502167819418,23.8,53.0,21.074103365132203,good
2025-12-31 19:22:26.536407,ESP32_NODE_001,713.0,697.347561737555,False,True,4.447573142844206,600,230,1022.9418228541674,0.08524515190451394,24.3,59.8,23.794984169279424,good
2025-12-31 19:27:26.536407,ESP32_NODE_001,745.0,728.4083352890699,False,True,4.2130201397256,596,230,968.9946321368881,0.080749552678074,23.6,62.1,23.098816236167284,good
2025-12-31 19:32:26.536407,ESP32_NODE_001,764.0,746.8746757396838,False,True,4.77980668375214,607,230,1099.3555372629921,0.09161296143858268,23.5,54.3,23.398798302548702,good
2025-12-31 19:37:26.536407,ESP32_NODE_001,667.0,652.3509224360083,False,True,4.608681956957269,604,230,1059.9968501001717,0.08833307084168097,22.7,63.0,19.167286792372003,good
2025-12-31 19:42:26.536407,ESP32_NODE_001,664.0,649.9010635037565,False,True,4.1755414414410685,595,230,960.3745315314458,0.08003121096095381,22.6,56.9,19.703356632219506,good
2025-12-31 19:47:26.536407,ESP32_NODE_001,685.0,670.1536883590666,False,True,4.6190505004533255,604,230,1062.381615104265,0.08853180125868873,23.3,52.7,23.86426744936123,good
2025-12-31 19:52:26.536407,ESP32_NODE_001,688.0,673.0552485824428,False,True,3.960257113555837,591,230,910.8591361178426,0.07590492800982021,24.0,60.0,25.83550726629108,poor
2025-12-31 19:57:26.536407,ESP32_NODE_001,725.0,709.3518410836125,False,True,3.9146008549778575,590,230,900.3581966449073,0.07502984972040894,22.7,52.6,21.180711932536084,good
2025-12-31 20:02:26.536407,ESP32_NODE_001,676.0,661.2906412277772,False,True,4.348598967799062,598,230,1000.1777625937843,0.08334814688281536,22.6,59.6,21.1156023082837,good
2025-12-31 20:07:26.536407,ESP32_NODE_001,678.0,663.2129022713975,False,True,4.359068873836209,599,230,1002.5858409823281,0.08354882008186067,22.6,64.0,19.583249999748784,good
2025-12-31 20:12:26.536407,ESP32_NODE_001,679.0,664.2524646808831,False,True,3.964731692340222,591,230,911.8882892382511,0.07599069076985426,24.8,53.7,24.12494921374349,good
2025-12-31 20:17:26.536407,ESP32_NODE_001,754.0,737.6112346101067,False,True,4.549903589402698,602,230,1046.4778255626204,0.0872064854635517,21.0,60.7,19.297268581785058,good
2025-12-31 20:22:26.536407,ESP32_NODE_001,666.0,651.4641556301793,False,True,4.17227982354734,595,230,959.6243594158882,0.07996869661799068,22.7,58.5,22.368492481134144,good
2025-12-31 20:27:26.536407,ESP32_NODE_001,633.0,619.4125289377816,False,True,4.646317761123325,604,230,1068.6530850583647,0.08905442375486372,23.1,61.4,22.890843160388762,good
2025-12-31 20:32:26.536407,ESP32_NODE_001,683.0,667.9871885593636,False,True,4.190945120694246,595,230,963.9173777596766,0.08032644814663971,23.8,55.5,22.00723439202199,good
2025-12-31 20:37:26.536407,ESP32_NODE_001,592.0,579.1174555354837,False,True,4.292335410646657,597,230,987.237144448731,0.08226976203739425,23.3,59.6,21.61263204991614,good
2025-12-31 20:42:26.536407,ESP32_NODE_001,625.0,611.4951836448914,False,True,4.52718134665481,602,230,1041.2517097306063,0.08677097581088385,24.3,56.4,23.429024361051496,good
2025-12-31 20:47:26.536407,ESP32_NODE_001,651.0,637.0042156417408,False,True,4.463543780619233,601,230,1026.6150695424235,0.08555125579520195,22.6,60.9,21.595735535549085,good
2025-12-31 20:52:26.536407,ESP32_NODE_001,652.0,637.3998933923021,False,True,4.278764787908398,597,230,984.1159012189315,0.08200965843491095,23.4,55.1,19.350098329404723,good
2025-12-31 20:57:26.536407,ESP32_NODE_001,632.0,618.715023530795,False,True,4.6654127310650875,605,230,1073.04492814497,0.08942041067874751,25.3,52.3,24.953746980030598,good
2025-12-31 21:02:26.536407,ESP32_NODE_001,642.0,627.7555303977136,False,True,4.408990647883773,600,230,1014.0678490132677,0.08450565408443897,22.7,58.4,18.30819064969907,good
2025-12-31 21:07:26.536407,ESP32_NODE_001,624.0,610.515276619544,False,True,4.281892606829931,597,230,984.8352995708842,0.08206960829757368,22.3,63.0,18.969943480407355,good
2025-12-31 21:12:26.536407,ESP32_NODE_001,653.0,638.4203707115902,False,True,4.242047094384274,596,230,975.670831708383,0.08130590264236526,23.1,62.3,19.981568833167024,good
2025-12-31 21:17:26.536407,ESP32_NODE_001,583.0,570.3795463636818,False,True,4.775434755210058,607,230,1098.3499936983133,0.09152916614152609,22.8,62.2,20.517810844123517,good
2025-12-31 21:22:26.536407,ESP32_NODE_001,612.0,598.9173575896698,False,True,4.484232079005268,601,230,1031.3733781712115,0.08594778151426763,23.1,56.7,23.083259885818798,good
2025-12-31 21:27:26.536407,ESP32_NODE_001,642.0,627.6986899673983,False,True,4.398934111856939,599,230,1011.754845727096,0.08431290381059132,22.7,61.3,18.204314811416076,good
2025-12-31 21:32:26.536407,ESP32_NODE_001,600.0,587.0924608668105,False,True,5.01068182674118,612,230,1152.4568201504715,0.09603806834587261,23.2,59.6,21.11869943223589,good
2025-12-31 21:37:26.536407,ESP32_NODE_001,617.0,603.500121175547,False,True,4.295769933805032,597,230,988.0270847751574,0.08233559039792979,22.7,63.4,18.58326550884562,good
2025-12-31 21:42:26.536407,ESP32_NODE_001,569.0,557.074403424848,False,True,4.316864345622321,598,230,992.8787994931338,0.08273989995776114,21.9,64.7,18.451349526437223,good
2025-12-31 21:47:26.536407,ESP32_NODE_001,661.0,646.8645337237643,False,True,4.3961929171263465,599,230,1011.1243709390596,0.08426036424492163,22.5,60.8,18.75815834035433,good
2025-12-31 21:52:26.536407,ESP32_NODE_001,611.0,597.5557758550353,False,True,4.720745419178723,606,230,1085.7714464111064,0.0904809538675922,23.0,57.9,20.449694760733376,good
2025-12-31 21:57:26.536407,ESP32_NODE_001,592.0,579.2749705222252,False,True,4.463022968798451,601,230,1026.4952828236437,0.08554127356863697,21.8,59.2,17.32834569352955,good
2025-12-31 22:02:26.536407,ESP32_NODE_001,628.0,614.3410640450015,False,True,4.074819828876394,593,230,937.2085606415706,0.07810071338679754,22.4,63.7,19.44002098536047,good
2025-12-31 22:07:26.536407,ESP32_NODE_001,565.0,552.9518221495189,False,True,4.511050950073771,602,230,1037.5417185169672,0.08646180987641394,21.3,68.2,15.573166036619389,good
