timestamp,lighting_energy_kwh,appliance_energy_kwh,hvac_energy_kwh,occupancy_factor,outdoor_temperature,total_energy_kwh,cumulative_energy_kwh,hour,day_of_week,is_weekend,is_peak_hour
2025-12-27 22:00:00,0.12950987155958144,0.3389344448678381,1.293963197510794,0.7,15.98265937367541,1.7624075139382134,1.7624075139382134,22,5,True,True
2025-12-27 23:00:00,0.1652921617528566,0.19789077837372235,0.45,0.7,12.625595157113466,0.8131829401265789,2.575590454064792,23,5,True,False
2025-12-28 00:00:00,0.0,0.23879805573192836,0.3743105260800626,0.0,16.12954342509752,0.613108581811991,3.188699035876783,0,6,True,False
2025-12-28 01:00:00,0.0,0.453995544572219,0.40490276632715066,0.0,15.19939067265273,0.8588983108993697,4.047597346776152,1,6,True,False
2025-12-28 02:00:00,0.0,0.1418694335195785,0.15849158314241513,0.0,20.711081024571662,0.30036101666199366,4.347958363438146,2,6,True,False
2025-12-28 03:00:00,0.0,0.24658351379204094,0.3539710345336515,0.0,16.41191413796475,0.6005545483256924,4.948512911763838,3,6,True,False
2025-12-28 04:00:00,0.0,0.19664855024131378,0.17784548811253323,0.0,20.56580981083841,0.374494038353847,5.323006950117684,4,6,True,False
2025-12-28 05:00:00,0.0,0.2046160767794739,0.1280968135645977,0.0,21.212182129414234,0.3327128903440716,5.655719840461756,5,6,True,False
2025-12-28 06:00:00,0.0,0.14692702001657718,0.0,0.0,25.787209908454706,0.14692702001657718,5.802646860478333,6,6,True,True
2025-12-28 07:00:00,0.040104497461494935,0.8722900759470672,0.558522247337759,0.7,27.97789954397105,1.470916820746321,7.273563681224655,7,6,True,True
2025-12-28 08:00:00,0.04708159459485574,0.9866429467593172,0.7230543804186061,0.7,28.71651671315743,1.7567789217727792,9.030342602997434,8,6,True,True
2025-12-28 09:00:00,0.04555878838991678,0.9619151762968042,0.8868015144496538,0.7,30.326224406565647,1.894275479136375,10.92461808213381,9,6,True,True
2025-12-28 10:00:00,0.04179509545456489,0.2941984700126739,1.2178278076413465,0.7,32.60999591946972,1.5538213731085853,12.478439455242395,10,6,True,True
2025-12-28 11:00:00,0.03486674494608898,0.10010711095270237,1.0596625124900627,0.7,30.84709806198112,1.1946363683888541,13.67307582363125,11,6,True,False
2025-12-28 12:00:00,0.04475004393128973,0.8590916099740075,0.762084395791009,0.7,29.072369385451196,1.665926049696306,15.339001873327556,12,6,True,False
2025-12-28 13:00:00,0.0406107068243977,0.9386324096935469,1.348245628748909,0.7,32.90731589174244,2.327488745266854,17.66649061859441,13,6,True,False
2025-12-28 14:00:00,0.04227711352777367,0.8028508873280443,0.8542267944310805,0.7,29.883111094017764,1.6993547952868986,19.365845413881306,14,6,True,False
2025-12-28 15:00:00,0.03449204938206432,0.12133173855396603,1.135141212574921,0.7,31.540092414433392,1.2909650005109512,20.656810414392258,15,6,True,False
2025-12-28 16:00:00,0.04972937906471818,0.22853874414921924,1.0418124691804782,0.7,30.390435891704968,1.3200805923944157,21.976891006786673,16,6,True,False
2025-12-28 17:00:00,0.042528338281547264,0.22015463514447828,0.6002774106359322,0.7,28.046731364828055,0.8629603840619577,22.83985139084863,17,6,True,False
2025-12-28 18:00:00,0.041792241755152525,1.098264357807542,0.0,0.7,22.506690985985568,1.1400565995626946,23.979907990411323,18,6,True,True
2025-12-28 19:00:00,0.1404087076472519,1.1322360030200311,0.0,0.7,25.607654748082894,1.2726447106672831,25.252552701078606,19,6,True,True
2025-12-28 20:00:00,0.16196687469728266,1.1616568098548843,0.0,0.7,23.937324340360355,1.323623684552167,26.576176385630774,20,6,True,True
2025-12-28 21:00:00,0.14461187097394076,0.47890637436084704,1.086960064839686,0.7,16.88868093755053,1.7104783101744738,28.286654695805247,21,6,True,True
2025-12-28 22:00:00,0.1462839985432741,0.31134637193997905,1.1062922311997387,0.7,17.199145787740395,1.563922601682992,29.85057729748824,22,6,True,True
