timestamp,carbon_intensity,renewable_percentage,fossil_fuel_percentage,grid_price_per_kwh,is_peak_hour,is_weekend
2025-12-27 22:00:00,504.8027686479216,49.199538558679734,50.800461441320266,5.548285043970579,True,True
2025-12-27 23:00:00,464.37571911989636,55.93738014668395,44.06261985331605,5.649795024363799,False,True
2025-12-28 00:00:00,426.8122232158953,62.19796279735078,37.80203720264922,4.793869742376663,False,True
2025-12-28 01:00:00,408.3499971203207,65.27500047994654,34.72499952005346,5.162191158791669,False,True
2025-12-28 02:00:00,488.03321560417186,51.99446406597136,48.00553593402864,6.378839461914337,False,True
2025-12-28 03:00:00,438.5613340734364,60.23977765442727,39.76022234557273,5.62345190321138,False,True
2025-12-28 04:00:00,483.6809193084677,52.71984678192205,47.28015321807795,6.312149708132694,False,True
2025-12-28 05:00:00,458.7313160459291,56.87811399234515,43.12188600765485,5.33386836893414,False,True
2025-12-28 06:00:00,526.2723215655955,45.62127973906742,54.37872026093258,5.245083503932646,True,True
2025-12-28 07:00:00,521.0561462893963,46.49064228510061,53.50935771489939,5.9699852219016005,True,True
2025-12-28 08:00:00,583.0619580771877,36.156340320468715,63.843659679531285,6.898639093284591,True,True
2025-12-28 09:00:00,528.1009678833741,45.31650535277099,54.68349464722901,6.66048753587859,True,True
2025-12-28 10:00:00,548.9121613034126,41.84797311609789,58.15202688390211,6.3823161913809905,True,True
2025-12-28 11:00:00,483.1204100411916,52.813264993134744,47.186735006865256,5.5436861547230425,False,True
2025-12-28 12:00:00,400.0255317349112,66.6624113775148,33.3375886224852,4.620564791501134,False,True
2025-12-28 13:00:00,385.042647811403,69.1595586980995,30.840441301900498,4.509838015906713,False,True
2025-12-28 14:00:00,452.9077317157011,57.84871138071648,42.15128861928352,6.314420533840081,False,True
2025-12-28 15:00:00,477.6479827765954,53.72533620390077,46.27466379609923,5.331962130871967,False,True
2025-12-28 16:00:00,457.9602205883444,57.00662990194261,42.99337009805739,4.66124390348767,False,True
2025-12-28 17:00:00,563.3685271358283,39.438578810695276,60.561421189304724,6.607521071539738,False,True
2025-12-28 18:00:00,560.511590186731,39.914734968878165,60.085265031121835,6.417851557936712,True,True
2025-12-28 19:00:00,572.1435894398683,37.97606842668863,62.02393157331137,6.972322224759794,True,True
