timestamp,carbon_intensity,zone
2026-01-26T09:24:00.291313,612.6711463385068,IN-KA
2026-01-26T10:24:00.291313,593.6116085014592,IN-KA
2026-01-26T11:24:00.291313,366.42721132391904,IN-KA
2026-01-26T12:24:00.291313,357.9802988806994,IN-KA
2026-01-26T13:24:00.291313,393.62650990976306,IN-KA
2026-01-26T14:24:00.291313,436.3633102363086,IN-KA
2026-01-26T15:24:00.291313,351.3947001943593,IN-KA
2026-01-26T16:24:00.291313,545.3434490598231,IN-KA
2026-01-26T17:24:00.291313,476.2831925225435,IN-KA
2026-01-26T18:24:00.291313,604.2705786005699,IN-KA
2026-01-26T19:24:00.291313,573.183965921427,IN-KA
2026-01-26T20:24:00.291313,613.3179475410151,IN-KA
2026-01-26T21:24:00.291313,621.9098192533415,IN-KA
2026-01-26T22:24:00.291313,591.3159254297702,IN-KA
2026-01-26T23:24:00.291313,484.17540565825556,IN-KA
2026-01-27T00:24:00.291313,520.7572670095881,IN-KA
2026-01-27T01:24:00.291313,464.2944904689133,IN-KA
2026-01-27T02:24:00.291313,469.10136583511104,IN-KA
2026-01-27T03:24:00.291313,471.51888209035485,IN-KA
2026-01-27T04:24:00.291313,536.1691210062565,IN-KA
2026-01-27T05:24:00.291313,519.2861603601475,IN-KA
2026-01-27T06:24:00.291313,607.6236598814562,IN-KA
2026-01-27T07:24:00.291313,609.682924017703,IN-KA
2026-01-27T08:24:00.291313,602.5493906287991,IN-KA
